○ 통계표명 :,전국 및 시도별 치매유병현황,,,,,,
○ 수록기간 :,년 2015 ~ 2065,,,,,,
○ 출처1 :,치매유병현황: 중앙치매센터,,,,,,
○ 출처2 :,"노인인구수: 통계청(주민인구연앙인구, 2015-2018)
통계청(장래인구추계, 2019-2065)",,,,,,
○ 자료다운일자 :,2019-12-02 14:32,,,,,,
○ 통계표URL :,https://www.nid.or.kr/info/ub_2019.aspx?no=43406,,,,,,
2015,서울특별시,도봉구,전체,70~74세,"13,221",511,3.87%
2015,서울특별시,도봉구,전체,75~79세,"9,109","1,076",11.81%
2015,서울특별시,도봉구,전체,80~84세,"4,971","1,046",21.04%
2015,서울특별시,도봉구,전체,85세이상,"3,347","1,307",39.06%
2015,서울특별시,도봉구,전체,60세이상,"67,505","4,291",6.36%
2015,서울특별시,도봉구,전체,65세이상,"46,627","4,162",8.93%
2015,서울특별시,노원구,전체,65~69세,"22,236",304,1.37%
2015,서울특별시,노원구,전체,70~74세,"18,125",692,3.82%
2015,서울특별시,노원구,전체,75~79세,"13,079","1,566",11.97%
2015,서울특별시,노원구,전체,80~84세,"7,724","1,637",21.20%
2015,서울특별시,노원구,전체,85세이상,"5,256","2,024",38.52%
2015,서울특별시,노원구,전체,60세이상,"96,182","6,402",6.66%
2015,서울특별시,노원구,전체,65세이상,"66,418","6,223",9.37%
2015,서울특별시,은평구,전체,65~69세,"23,233",318,1.37%
2015,서울특별시,은평구,전체,70~74세,"19,163",738,3.85%
2015,서울특별시,은평구,전체,75~79세,"12,966","1,528",11.78%
2015,서울특별시,은평구,전체,80~84세,"6,528","1,366",20.92%
2015,서울특별시,은평구,전체,85세이상,"4,207","1,637",38.92%
2015,서울특별시,은평구,전체,60세이상,"93,861","5,750",6.13%
2015,서울특별시,은평구,전체,65세이상,"66,096","5,587",8.45%
2015,서울특별시,서대문구,전체,65~69세,"14,254",193,1.36%
2015,서울특별시,서대문구,전체,70~74세,"12,601",482,3.82%
2015,서울특별시,서대문구,전체,75~79세,"9,364","1,107",11.82%
2015,서울특별시,서대문구,전체,80~84세,"4,731",991,20.95%
2015,서울특별시,서대문구,전체,85세이상,"3,048","1,189",39.01%
2015,서울특별시,서대문구,전체,60세이상,"60,505","4,060",6.71%
2015,서울특별시,서대문구,전체,65세이상,"43,997","3,962",9.01%
2015,서울특별시,마포구,전체,65~69세,"15,150",205,1.35%
2015,서울특별시,마포구,전체,70~74세,"13,169",504,3.83%
2015,서울특별시,마포구,전체,75~79세,"9,282","1,098",11.83%
2015,서울특별시,마포구,전체,80~84세,"5,121","1,073",20.95%
2015,서울특별시,마포구,전체,85세이상,"3,261","1,279",39.24%
2015,서울특별시,마포구,전체,60세이상,"64,102","4,264",6.65%
2015,서울특별시,마포구,전체,65세이상,"45,981","4,159",9.05%
2015,서울특별시,양천구,전체,65~69세,"18,022",253,1.41%
2015,서울특별시,양천구,전체,70~74세,"12,818",496,3.87%
2015,서울특별시,양천구,전체,75~79세,"8,698","1,038",11.94%
2015,서울특별시,양천구,전체,80~84세,"5,033","1,070",21.26%
2015,서울특별시,양천구,전체,85세이상,"3,667","1,404",38.28%
2015,서울특별시,양천구,전체,60세이상,"73,352","4,417",6.02%
2015,서울특별시,양천구,전체,65세이상,"48,236","4,262",8.83%
2015,서울특별시,강서구,전체,65~69세,"24,622",344,1.40%
2015,서울특별시,강서구,전체,70~74세,"17,078",662,3.88%
2015,서울특별시,강서구,전체,75~79세,"11,235","1,341",11.94%
2015,서울특별시,강서구,전체,80~84세,"6,774","1,436",21.20%
2015,서울특별시,강서구,전체,85세이상,"4,901","1,874",38.24%
2015,서울특별시,강서구,전체,60세이상,"97,541","5,853",6%
2015,서울특별시,강서구,전체,65세이상,"64,609","5,658",8.76%
2015,서울특별시,구로구,전체,65~69세,"19,693",277,1.41%
2015,서울특별시,구로구,전체,70~74세,"14,477",563,3.89%
2015,서울특별시,구로구,전체,75~79세,"9,181","1,077",11.73%
2015,서울특별시,구로구,전체,80~84세,"4,676",982,21.01%
2015,서울특별시,구로구,전체,85세이상,"2,958","1,130",38.21%
2015,서울특별시,구로구,전체,60세이상,"75,900","4,179",5.51%
2015,서울특별시,구로구,전체,65세이상,"50,984","4,029",7.90%
2015,서울특별시,금천구,전체,65~69세,"10,957",153,1.40%
2015,서울특별시,금천구,전체,70~74세,"8,482",329,3.88%
2015,서울특별시,금천구,전체,75~79세,"5,274",619,11.74%
2015,서울특별시,금천구,전체,80~84세,"2,718",570,20.99%
2015,서울특별시,금천구,전체,85세이상,"1,672",634,37.94%
2015,서울특별시,금천구,전체,60세이상,"43,297","2,393",5.53%
2015,서울특별시,금천구,전체,65세이상,"29,102","2,306",7.92%
2015,서울특별시,영등포구,전체,65~69세,"17,314",242,1.40%
2015,서울특별시,영등포구,전체,70~74세,"13,423",518,3.86%
2015,서울특별시,영등포구,전체,75~79세,"9,285","1,090",11.74%
2015,서울특별시,영등포구,전체,80~84세,"4,925","1,028",20.88%
2015,서울특별시,영등포구,전체,85세이상,"3,121","1,214",38.91%
2015,서울특별시,영등포구,전체,60세이상,"69,446","4,222",6.08%
2015,서울특별시,영등포구,전체,65세이상,"48,067","4,092",8.51%
2015,서울특별시,동작구,전체,65~69세,"18,531",253,1.37%
2015,서울특별시,동작구,전체,70~74세,"14,519",564,3.88%
2015,서울특별시,동작구,전체,75~79세,"9,595","1,131",11.79%
2015,서울특별시,동작구,전체,80~84세,"5,172","1,081",20.91%
2015,서울특별시,동작구,전체,85세이상,"3,426","1,326",38.71%
2015,서울특별시,동작구,전체,60세이상,"73,289","4,485",6.12%
2015,서울특별시,동작구,전체,65세이상,"51,241","4,355",8.50%
2015,서울특별시,관악구,전체,65~69세,"23,527",324,1.38%
2015,서울특별시,관악구,전체,70~74세,"18,444",717,3.89%
2015,서울특별시,관악구,전체,75~79세,"11,146","1,300",11.66%
2015,서울특별시,관악구,전체,80~84세,"5,278","1,104",20.91%
2015,서울특별시,관악구,전체,85세이상,"3,333","1,275",38.27%
2015,서울특별시,관악구,전체,60세이상,"89,627","4,882",5.45%
2015,서울특별시,관악구,전체,65세이상,"61,727","4,720",7.65%
2015,서울특별시,서초구,전체,65~69세,"18,118",251,1.38%
2015,서울특별시,서초구,전체,70~74세,"12,619",494,3.91%
2015,서울특별시,서초구,전체,75~79세,"7,770",903,11.62%
2015,서울특별시,서초구,전체,80~84세,"4,466",935,20.93%
2015,서울특별시,서초구,전체,85세이상,"3,717","1,435",38.60%
2015,서울특별시,서초구,전체,60세이상,"69,234","4,149",5.99%
2015,서울특별시,서초구,전체,65세이상,"46,689","4,017",8.60%
2015,서울특별시,강남구,전체,65~69세,"22,469",311,1.38%
2015,서울특별시,강남구,전체,70~74세,"15,212",595,3.91%
2015,서울특별시,강남구,전체,75~79세,"9,304","1,087",11.68%
2015,서울특별시,강남구,전체,80~84세,"5,374","1,134",21.10%
2015,서울특별시,강남구,전체,85세이상,"4,595","1,756",38.22%
2015,서울특별시,강남구,전체,60세이상,"85,594","5,049",5.90%
2015,서울특별시,강남구,전체,65세이상,"56,954","4,882",8.57%
2015,서울특별시,송파구,전체,65~69세,"25,647",362,1.41%
2015,서울특별시,송파구,전체,70~74세,"17,298",674,3.90%
2015,서울특별시,송파구,전체,75~79세,"10,863","1,279",11.78%
2015,서울특별시,송파구,전체,80~84세,"6,342","1,342",21.17%
2015,서울특별시,송파구,전체,85세이상,"4,775","1,827",38.27%
2015,서울특별시,송파구,전체,60세이상,"101,114","5,705",5.64%
2015,서울특별시,송파구,전체,65세이상,"64,924","5,485",8.45%
2015,서울특별시,강동구,전체,65~69세,"19,708",278,1.41%
2015,서울특별시,강동구,전체,70~74세,"13,251",517,3.90%
2015,서울특별시,강동구,전체,75~79세,"8,230",973,11.82%
2015,서울특별시,강동구,전체,80~84세,"4,851","1,035",21.33%
2015,서울특별시,강동구,전체,85세이상,"3,802","1,434",37.73%
2015,서울특별시,강동구,전체,60세이상,"77,411","4,406",5.69%
2015,서울특별시,강동구,전체,65세이상,"49,842","4,238",8.50%
2015,부산광역시,부산광역시,전체,65~69세,"176,934","2,453",1.39%
2015,부산광역시,부산광역시,전체,70~74세,"139,424","5,363",3.85%
2015,부산광역시,부산광역시,전체,75~79세,"95,399","11,355",11.90%
2015,부산광역시,부산광역시,전체,80~84세,"51,511","10,910",21.18%
2015,부산광역시,부산광역시,전체,85세이상,"31,316","11,868",37.90%
2015,부산광역시,부산광역시,전체,60세이상,"729,048","43,366",5.95%
2015,부산광역시,부산광역시,전체,65세이상,"494,583","41,948",8.48%
2015,부산광역시,중구,전체,65~69세,"3,021",41,1.36%
2015,부산광역시,중구,전체,70~74세,"2,558",98,3.84%
2015,부산광역시,중구,전체,75~79세,"1,742",208,11.92%
2015,부산광역시,중구,전체,80~84세,891,188,21.09%
2015,부산광역시,중구,전체,85세이상,633,243,38.48%
2015,부산광역시,중구,전체,60세이상,"12,492",800,6.40%
2015,부산광역시,중구,전체,65세이상,"8,843",778,8.80%
2015,부산광역시,서구,전체,65~69세,"7,468",103,1.38%
2015,부산광역시,서구,전체,70~74세,"6,340",242,3.82%
2015,부산광역시,서구,전체,75~79세,"4,618",552,11.95%
2015,부산광역시,서구,전체,80~84세,"2,538",538,21.19%
2015,부산광역시,서구,전체,85세이상,"1,582",597,37.72%
2015,부산광역시,서구,전체,60세이상,"31,566","2,085",6.61%
2015,부산광역시,서구,전체,65세이상,"22,545","2,031",9.01%
2015,부산광역시,동구,전체,65~69세,"6,277",86,1.37%
2015,부산광역시,동구,전체,70~74세,"5,580",213,3.81%
2015,부산광역시,동구,전체,75~79세,"4,047",483,11.93%
2015,부산광역시,동구,전체,80~84세,"2,143",454,21.18%
2015,부산광역시,동구,전체,85세이상,"1,164",452,38.87%
2015,부산광역시,동구,전체,60세이상,"26,580","1,731",6.51%
2015,부산광역시,동구,전체,65세이상,"19,210","1,688",8.78%
2015,부산광역시,영도구,전체,65~69세,"8,753",121,1.38%
2015,부산광역시,영도구,전체,70~74세,"7,412",282,3.81%
2015,부산광역시,영도구,전체,75~79세,"5,123",612,11.94%
2015,부산광역시,영도구,전체,80~84세,"2,588",548,21.18%
2015,부산광역시,영도구,전체,85세이상,"1,586",593,37.41%
2015,부산광역시,영도구,전체,60세이상,"35,985","2,219",6.17%
2015,부산광역시,영도구,전체,65세이상,"25,460","2,156",8.47%
2015,부산광역시,부산진구,전체,65~69세,"19,651",271,1.38%
2015,부산광역시,부산진구,전체,70~74세,"16,162",620,3.84%
2015,부산광역시,부산진구,전체,75~79세,"11,263","1,343",11.93%
2015,부산광역시,부산진구,전체,80~84세,"5,873","1,238",21.08%
2015,부산광역시,부산진구,전체,85세이상,"3,345","1,273",38.05%
2015,부산광역시,부산진구,전체,60세이상,"81,967","4,900",5.98%
2015,부산광역시,부산진구,전체,65세이상,"56,293","4,745",8.43%
2015,부산광역시,동래구,전체,65~69세,"13,732",191,1.39%
2015,부산광역시,동래구,전체,70~74세,"10,422",403,3.87%
2015,부산광역시,동래구,전체,75~79세,"6,892",813,11.80%
2015,부산광역시,동래구,전체,80~84세,"3,761",794,21.12%
2015,부산광역시,동래구,전체,85세이상,"2,300",874,37.99%
2015,부산광역시,동래구,전체,60세이상,"55,730","3,187",5.72%
2015,부산광역시,동래구,전체,65세이상,"37,107","3,076",8.29%
2015,부산광역시,남구,전체,65~69세,"15,357",212,1.38%
2015,부산광역시,남구,전체,70~74세,"12,481",481,3.86%
2015,부산광역시,남구,전체,75~79세,"8,128",961,11.82%
2015,부산광역시,남구,전체,80~84세,"4,128",870,21.09%
2015,부산광역시,남구,전체,85세이상,"2,480",937,37.79%
2015,부산광역시,남구,전체,60세이상,"61,874","3,576",5.78%
2015,부산광역시,남구,전체,65세이상,"42,574","3,461",8.13%
2015,부산광역시,북구,전체,65~69세,"12,786",179,1.40%
2015,부산광역시,북구,전체,70~74세,"9,666",371,3.84%
2015,부산광역시,북구,전체,75~79세,"6,594",790,11.98%
2015,부산광역시,북구,전체,80~84세,"3,679",789,21.45%
2015,부산광역시,북구,전체,85세이상,"2,176",816,37.51%
2015,부산광역시,북구,전체,60세이상,"53,746","3,064",5.70%
2015,부산광역시,북구,전체,65세이상,"34,900","2,946",8.44%
2015,부산광역시,해운대구,전체,65~69세,"18,362",253,1.38%
2015,부산광역시,해운대구,전체,70~74세,"14,514",555,3.83%
2015,부산광역시,해운대구,전체,75~79세,"10,369","1,239",11.95%
2015,부산광역시,해운대구,전체,80~84세,"5,797","1,226",21.15%
2015,부산광역시,해운대구,전체,85세이상,"3,512","1,340",38.16%
2015,부산광역시,해운대구,전체,60세이상,"77,292","4,763",6.16%
2015,부산광역시,해운대구,전체,65세이상,"52,552","4,614",8.78%
2015,부산광역시,사하구,전체,65~69세,"15,910",222,1.40%
2015,부산광역시,사하구,전체,70~74세,"11,804",456,3.86%
2015,부산광역시,사하구,전체,75~79세,"7,947",950,11.96%
2015,부산광역시,사하구,전체,80~84세,"4,235",899,21.24%
2015,부산광역시,사하구,전체,85세이상,"2,746","1,030",37.52%
2015,부산광역시,사하구,전체,60세이상,"64,773","3,695",5.70%
2015,부산광역시,사하구,전체,65세이상,"42,641","3,557",8.34%
2015,부산광역시,금정구,전체,65~69세,"12,928",180,1.39%
2015,부산광역시,금정구,전체,70~74세,"10,103",391,3.87%
2015,부산광역시,금정구,전체,75~79세,"6,882",818,11.88%
2015,부산광역시,금정구,전체,80~84세,"3,936",831,21.13%
2015,부산광역시,금정구,전체,85세이상,"2,409",917,38.09%
2015,부산광역시,금정구,전체,60세이상,"53,719","3,242",6.03%
2015,부산광역시,금정구,전체,65세이상,"36,257","3,137",8.65%
2015,부산광역시,강서구,전체,65~69세,"3,711",53,1.43%
2015,부산광역시,강서구,전체,70~74세,"2,944",114,3.87%
2015,부산광역시,강서구,전체,75~79세,"2,025",242,11.95%
2015,부산광역시,강서구,전체,80~84세,"1,251",266,21.26%
2015,부산광역시,강서구,전체,85세이상,853,319,37.40%
2015,부산광역시,강서구,전체,60세이상,"16,194","1,029",6.35%
2015,부산광역시,강서구,전체,65세이상,"10,783",994,9.21%
2015,부산광역시,연제구,전체,65~69세,"10,994",153,1.39%
2015,부산광역시,연제구,전체,70~74세,"8,449",327,3.87%
2015,부산광역시,연제구,전체,75~79세,"5,619",662,11.78%
2015,부산광역시,연제구,전체,80~84세,"2,945",622,21.12%
2015,부산광역시,연제구,전체,85세이상,"1,732",665,38.39%
2015,부산광역시,연제구,전체,60세이상,"44,233","2,515",5.69%
2015,부산광역시,연제구,전체,65세이상,"29,738","2,428",8.16%
2015,부산광역시,수영구,전체,65~69세,"10,557",146,1.38%
2015,부산광역시,수영구,전체,70~74세,"7,889",305,3.87%
2015,부산광역시,수영구,전체,75~79세,"5,309",625,11.76%
2015,부산광역시,수영구,전체,80~84세,"3,004",634,21.12%
2015,부산광역시,수영구,전체,85세이상,"1,904",734,38.57%
2015,부산광역시,수영구,전체,60세이상,"41,897","2,521",6.02%
2015,부산광역시,수영구,전체,65세이상,"28,662","2,444",8.53%
2015,부산광역시,사상구,전체,65~69세,"11,016",154,1.40%
2015,부산광역시,사상구,전체,70~74세,"7,912",305,3.86%
2015,부산광역시,사상구,전체,75~79세,"5,111",612,11.97%
2015,부산광역시,사상구,전체,80~84세,"2,567",549,21.38%
2015,부산광역시,사상구,전체,85세이상,"1,482",547,36.91%
2015,부산광역시,사상구,전체,60세이상,"43,992","2,266",5.15%
2015,부산광역시,사상구,전체,65세이상,"28,087","2,167",7.72%
2015,부산광역시,기장군,전체,65~69세,"6,415",89,1.39%
2015,부산광역시,기장군,전체,70~74세,"5,191",199,3.82%
2015,부산광역시,기장군,전체,75~79세,"3,733",447,11.97%
2015,부산광역시,기장군,전체,80~84세,"2,179",462,21.21%
2015,부산광역시,기장군,전체,85세이상,"1,417",530,37.43%
2015,부산광역시,기장군,전체,60세이상,"27,011","1,775",6.57%
2015,부산광역시,기장군,전체,65세이상,"18,935","1,727",9.12%
2015,대구광역시,대구광역시,전체,65~69세,"102,973","1,418",1.38%
2015,대구광역시,대구광역시,전체,70~74세,"85,165","3,247",3.81%
2015,대구광역시,대구광역시,전체,75~79세,"62,459","7,471",11.96%
2015,대구광역시,대구광역시,전체,80~84세,"35,625","7,540",21.16%
2015,대구광역시,대구광역시,전체,85세이상,"20,311","7,752",38.17%
2015,대구광역시,대구광역시,전체,60세이상,"445,730","28,261",6.34%
2015,대구광역시,대구광역시,전체,65세이상,"306,532","27,427",8.95%
2015,대구광역시,중구,전체,65~69세,"4,602",62,1.35%
2015,대구광역시,중구,전체,70~74세,"4,150",159,3.82%
2015,대구광역시,중구,전체,75~79세,"2,995",357,11.91%
2015,대구광역시,중구,전체,80~84세,"1,663",350,21.06%
2015,대구광역시,중구,전체,85세이상,"1,128",431,38.21%
2015,대구광역시,중구,전체,60세이상,"19,755","1,389",7.03%
2015,대구광역시,중구,전체,65세이상,"14,538","1,359",9.35%
2015,대구광역시,동구,전체,65~69세,"17,576",242,1.38%
2015,대구광역시,동구,전체,70~74세,"14,722",562,3.82%
2015,대구광역시,동구,전체,75~79세,"10,517","1,254",11.92%
2015,대구광역시,동구,전체,80~84세,"5,780","1,218",21.08%
2015,대구광역시,동구,전체,85세이상,"3,250","1,242",38.22%
2015,대구광역시,동구,전체,60세이상,"74,452","4,652",6.25%
2015,대구광역시,동구,전체,65세이상,"51,843","4,518",8.71%
2015,대구광역시,서구,전체,65~69세,"11,077",153,1.38%
2015,대구광역시,서구,전체,70~74세,"8,954",342,3.82%
2015,대구광역시,서구,전체,75~79세,"6,084",726,11.94%
2015,대구광역시,서구,전체,80~84세,"3,124",665,21.29%
2015,대구광역시,서구,전체,85세이상,"1,641",614,37.40%
2015,대구광역시,서구,전체,60세이상,"45,978","2,589",5.63%
2015,대구광역시,서구,전체,65세이상,"30,880","2,500",8.10%
2015,대구광역시,남구,전체,65~69세,"9,141",124,1.36%
2015,대구광역시,남구,전체,70~74세,"7,900",301,3.81%
2015,대구광역시,남구,전체,75~79세,"5,901",705,11.95%
2015,대구광역시,남구,전체,80~84세,"3,525",741,21.02%
2015,대구광역시,남구,전체,85세이상,"1,933",744,38.46%
2015,대구광역시,남구,전체,60세이상,"39,911","2,681",6.72%
2015,대구광역시,남구,전체,65세이상,"28,400","2,615",9.21%
2015,대구광역시,북구,전체,65~69세,"16,143",221,1.37%
2015,대구광역시,북구,전체,70~74세,"13,579",517,3.80%
2015,대구광역시,북구,전체,75~79세,"9,726","1,161",11.94%
2015,대구광역시,북구,전체,80~84세,"5,290","1,123",21.23%
2015,대구광역시,북구,전체,85세이상,"2,945","1,116",37.89%
2015,대구광역시,북구,전체,60세이상,"69,479","4,270",6.15%
2015,대구광역시,북구,전체,65세이상,"47,682","4,138",8.68%
2015,대구광역시,수성구,전체,65~69세,"16,987",233,1.37%
2015,대구광역시,수성구,전체,70~74세,"14,364",548,3.82%
2015,대구광역시,수성구,전체,75~79세,"11,006","1,313",11.93%
2015,대구광역시,수성구,전체,80~84세,"6,838","1,444",21.12%
2015,대구광역시,수성구,전체,85세이상,"4,073","1,573",38.62%
2015,대구광역시,수성구,전체,60세이상,"76,229","5,249",6.89%
2015,대구광역시,수성구,전체,65세이상,"53,267","5,112",9.60%
2015,대구광역시,달서구,전체,65~69세,"20,585",286,1.39%
2015,대구광역시,달서구,전체,70~74세,"15,793",602,3.81%
2015,대구광역시,달서구,전체,75~79세,"11,754","1,414",12.03%
2015,대구광역시,달서구,전체,80~84세,"6,699","1,424",21.25%
2015,대구광역시,달서구,전체,85세이상,"3,760","1,435",38.16%
2015,대구광역시,달서구,전체,60세이상,"89,234","5,347",5.99%
2015,대구광역시,달서구,전체,65세이상,"58,589","5,160",8.81%
2015,대구광역시,달성군,전체,65~69세,"6,864",96,1.40%
2015,대구광역시,달성군,전체,70~74세,"5,705",216,3.79%
2015,대구광역시,달성군,전체,75~79세,"4,477",541,12.08%
2015,대구광역시,달성군,전체,80~84세,"2,708",575,21.22%
2015,대구광역시,달성군,전체,85세이상,"1,582",598,37.80%
2015,대구광역시,달성군,전체,60세이상,"30,694","2,084",6.79%
2015,대구광역시,달성군,전체,65세이상,"21,336","2,026",9.50%
2015,인천광역시,인천광역시,전체,65~69세,"103,369","1,442",1.39%
2015,인천광역시,인천광역시,전체,70~74세,"80,213","3,077",3.84%
2015,인천광역시,인천광역시,전체,75~79세,"58,983","7,056",11.96%
2015,인천광역시,인천광역시,전체,80~84세,"34,850","7,402",21.24%
2015,인천광역시,인천광역시,전체,85세이상,"24,182","9,252",38.26%
2015,인천광역시,인천광역시,전체,60세이상,"439,769","29,087",6.61%
2015,인천광역시,인천광역시,전체,65세이상,"301,597","28,230",9.36%
2015,인천광역시,중구,전체,65~69세,"5,172",72,1.39%
2015,인천광역시,중구,전체,70~74세,"4,058",157,3.87%
2015,인천광역시,중구,전체,75~79세,"2,773",328,11.82%
2015,인천광역시,중구,전체,80~84세,"1,622",344,21.24%
2015,인천광역시,중구,전체,85세이상,"1,174",452,38.51%
2015,인천광역시,중구,전체,60세이상,"20,894","1,391",6.66%
2015,인천광역시,중구,전체,65세이상,"14,798","1,353",9.14%
2015,인천광역시,동구,전체,65~69세,"3,942",54,1.37%
2015,인천광역시,동구,전체,70~74세,"3,325",128,3.84%
2015,인천광역시,동구,전체,75~79세,"2,393",286,11.95%
2015,인천광역시,동구,전체,80~84세,"1,372",293,21.39%
2015,인천광역시,동구,전체,85세이상,919,358,38.91%
2015,인천광역시,동구,전체,60세이상,"16,480","1,146",6.96%
2015,인천광역시,동구,전체,65세이상,"11,950","1,119",9.36%
2015,인천광역시,남구,전체,65~69세,"18,711",260,1.39%
2015,인천광역시,남구,전체,70~74세,"14,783",569,3.85%
2015,인천광역시,남구,전체,75~79세,"10,363","1,230",11.87%
2015,인천광역시,남구,전체,80~84세,"5,602","1,187",21.18%
2015,인천광역시,남구,전체,85세이상,"3,939","1,514",38.43%
2015,인천광역시,남구,전체,60세이상,"76,401","4,898",6.41%
2015,인천광역시,남구,전체,65세이상,"53,396","4,759",8.91%
2015,인천광역시,연수구,전체,65~69세,"8,086",113,1.39%
